subject_ID,age_in_years,gender,gender_coded,age_group,age_group_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingL,RT_fishingR,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,EV_flashL,EV_flashR,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,items_count_flashL,items_count_flashR,EV_at_fishingL,EV_at_fishingR,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,trial_number,prop_correct_fishing,fishing_rewardL,fishing_rewardR,fishing_rewardL_rational_fishing,fishing_rewardR_rational_fishing,avg_fishing_reward,avg_fishing_reward_rational_fishing,reward_EV_info,reward_EV_no_info,reward_uncertainty_info,reward_uncertainty_no_info,reward_agency_info,reward_agency_no_info
6729125,43,Female,2,Adults,4,1,trial_1,,1,1,,15986.2,14317.8,5052.8,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",50,100,-1.666666667,3.333333333,3.333333333,-6.666666667,8.975274679,7.453559925,1,2,5,-1.521714754,1,50,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}",-1.666666667,-6.666666667,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,1,0.9375,0,0,0,0,0,1.166666667,-6.666666667,-1.666666667,2,0,0,0
6729125,43,Female,2,Adults,4,0,trial_2,,0,,,31427.3,2291.7,,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",50,0,3.333333333,-10,3.333333333,-13.33333333,9.428090416,8.164965809,3,2,-13.33333333,-1.263124607,-1,-50,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":0}",3.333333333,-10,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,2,0.9375,10,-20,-20,-10,0,1.166666667,3.333333333,-10,3,0,10,-20
6729125,43,Female,2,Adults,4,0,trial_3,,,1,,17271.9,,4991,"{""FishSmall"":2,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",0,100,10,-10,16.66666667,-16.66666667,8.164965809,8.164965809,2,2,-20,0,0,100,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}",16.66666667,-10,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,3,0.9375,0,0,20,0,0,1.166666667,16.66666667,-10,2,0,0,0
6729125,43,Female,2,Adults,4,0,trial_4,,1,1,,8013.4,8266.4,10572.5,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",50,100,-6.666666667,8.333333333,0,-6.666666667,9.428090416,8.975274679,1,3,15,-0.452815737,2,50,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":2,""Seaweed"":0}",0,8.333333333,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,4,0.9375,0,0,0,20,0,1.166666667,0,8.333333333,1,0,0,0
6729125,43,Female,2,Adults,4,0,trial_5,,1,,,2649.2,16897.6,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":2,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",100,50,-8.333333333,13.33333333,-6.666666667,6.666666667,6.871842709,7.453559925,2,1,21.66666667,0.581717216,-1,-50,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",-6.666666667,13.33333333,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,5,0.9375,0,0,0,0,0,1.166666667,-6.666666667,13.33333333,2,0,0,0
6729125,43,Female,2,Adults,4,1,trial_6,,1,1,,5020.8,6068,2545.4,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":3}",100,50,-10,-1.666666667,-6.666666667,-3.333333333,8.164965809,6.871842709,2,3,8.333333333,-1.2931231,1,-50,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",-10,-3.333333333,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,6,0.9375,0,0,0,0,0,1.166666667,-3.333333333,-10,3,0,0,0
6729125,43,Female,2,Adults,4,1,trial_7,,,,,3820,,,"{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}",0,0,5,-13.33333333,-3.333333333,-16.66666667,7.637626158,7.453559925,1,1,-18.33333333,-0.184066233,0,0,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}",5,-16.66666667,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,7,0.9375,0,-20,0,-20,0,1.166666667,-16.66666667,5,1,0,-20,0
6729125,43,Female,2,Adults,4,0,trial_8,,,,,1712.9,,,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",0,0,6.666666667,5,3.333333333,13.33333333,7.453559925,9.574271078,3,2,-1.666666667,2.120711153,-1,0,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",3.333333333,5,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,8,0.9375,10,10,0,10,0,1.166666667,3.333333333,5,3,0,10,10
6729125,43,Female,2,Adults,4,1,trial_9,,0,1,,2625.6,1654.5,1657,"{""FishSmall"":2,""FishBig"":4,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}",100,100,16.66666667,0,16.66666667,-6.666666667,4.714045208,8.164965809,0,2,-16.66666667,3.450920601,2,0,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}",16.66666667,-6.666666667,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,9,0.9375,10,0,10,0,0,1.166666667,-6.666666667,16.66666667,2,0,0,10
6729125,43,Female,2,Adults,4,0,trial_10,,1,,,2096.2,1210.2,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":4,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",50,0,-5,-3.333333333,-10,-6.666666667,7.637626158,9.428090416,1,3,1.666666667,1.790464258,2,-50,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}",-10,-3.333333333,0.9,8816.02,0.961538462,2,2,2,1,2,2,2,2,2,2,2,2,2,100,10,0.9375,0,0,0,-10,0,1.166666667,-10,-3.333333333,1,0,0,0
