subject_ID,age_in_years,gender,gender_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingR,RT_fishingL,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,prop_correct_fishing
3714639,31,Male,1,0,trial_16,,0,,,4754.485,,1041.43,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}",50,50,3.333333333,3.333333333,7.453559925,9.428090416,2,3,0,1.974530491,1,0,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,1,trial_17,,,,,1800.69,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":3,""Seaweed"":2}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}",0,50,-11.66666667,0,8.975274679,8.164965809,2,2,11.66666667,-0.810308869,0,50,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,0,trial_18,,,1,,2700.875,1976.345,,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}",0,100,0,-15,8.164965809,5,2,0,-15,-3.164965809,-2,100,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,1,trial_19,,,,,5057.635,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",50,0,-10,5,8.164965809,9.574271078,2,2,15,1.409305268,0,-50,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,1,trial_20,,0,1,,2630.93,2798.88,3556.18,"{""FishSmall"":1,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}",50,50,11.66666667,1.666666667,8.975274679,6.871842709,2,3,-10,-2.103431969,1,0,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,,,,,catch_2,1,,,2872.05,,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
3714639,31,Male,1,0,trial_21,,1,,,4122.15,,1849.56,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}",100,0,-8.333333333,-5,6.871842709,9.574271078,2,2,3.333333333,2.702428368,0,-100,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,0,trial_22,,,,,1736.335,,,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}",50,0,3.333333333,-5,9.428090416,9.574271078,3,2,-8.333333333,0.146180662,-1,-50,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,1,trial_23,,,0,,2124.005,1698.515,,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",0,100,10,6.666666667,5.773502692,9.428090416,1,1,-3.333333333,3.654587724,0,100,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,0,trial_24,,0,0,,1998.795,3404.34,2263.02,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",100,50,0,5,8.164965809,5,2,3,5,-3.164965809,1,-50,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
